"รหัส","รายการ","หมวด","หน่วย","ปริมาณ","ราคาต่อหน่วย","เป็นเงิน"
"2.6.3","งานจัดหาและติดตั้งโครงหลังคา","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","909935","909935"
"","งานสถาปัตยกรรม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.6.4","งานจัดหาและติดตั้งวัสดุมุงหลังคาและส่วนประกอบอื่นๆ","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","489517","489517"
"2.6.5","งานจัดหาและติดตั้งฝ้าเพดาน / เพดาน / ผนัง","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","754110","754110"
"2.6.6","งานจัดหาและติดตั้งพร้อม ตกแต่งพื้น / ทางเดิน / บันได","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","340139","340139"
"2.6.7","งานจัดหาและติดตั้งประตู-หน้าต่าง","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","353120","353120"
"2.6.8","งานจัดหาและติดตั้งลูกกรงและราวบันได","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","121140","121140"
"2.6.9","งานจัดหาและติดตั้งสุขภัณฑ์และอุปกรณ์ประกอบ ห้องน้ำ 4","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","70157.6","70157.6"
"2.7","กลุ่มที่ 4 อาคารสำนักงาน ห้องประชุม/พักผ่อน (Zone D)","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"","งานโครงสร้างวิศวกรรม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.7.1","งานจัดหาและติดตั้งเสาเข็ม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.7.1.1","งานตอกเสาเข็ม คอร. ขนาด 0.40x0.40 ม.","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","55","27898","1534390"
"2.7.1.2","งานสกัดหัวเสาเข็ม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","55","415","22825"
"2.7.1.3","งานทดสอบการรับน้ำหนักของเสาเข็ม Dynamic Load Test","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","1","31969","31969"
"2.7.2","งานโครงสร้างคอนกรีตเสริมเหล็ก","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","2315108","2315108"
"2.7.3","งานจัดหาและติดตั้งโครงหลังคา","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","754466","754466"
"","งานสถาปัตยกรรม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.7.4","งานจัดหาและติดตั้งวัสดุมุงหลังคาและส่วนประกอบอื่นๆ","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","413464","413464"
"2.7.5","งานจัดหาและติดตั้ง ฝ้าเพดาน / เพดาน / ผนัง","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","701145","701145"
"2.7.6","งานจัดหาและติดตั้งพร้อม ตกแต่งพื้น / ทางเดิน / บันได","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","290214","290214"
"2.7.8","งานจัดหาและติดตั้งประตู-หน้าต่าง","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","370730","370730"
"2.7.9","งานจัดหาและติดตั้งลูกกรงและราวบันได","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","100950","100950"
"2.7.10","งานจัดหาและติดตั้งสุขภัณฑ์และอุปกรณ์ประกอบ ห้องน้ำ 2","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","81238.6","81238.6"
"2.8","กลุ่มงานที่ 5 อาคารห้องแสดงวีดิทัศน์ (Zone F)","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"","งานโครงสร้างวิศวกรรม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
